Date,Mode,Category,Note,Amount,Income/Expense,Currency,year,month,Transaction_id
01-01-2015,Cash,Transportation,No notes available!,10,Expense,INR,2015,January,TXN1
01-01-2015,Credit Card,Groceries,No notes available!,400,Expense,INR,2015,January,TXN2
01-01-2015,Cash,Transportation,No notes available!,20,Expense,INR,2015,January,TXN3
01-01-2015,Cash,Transportation,No notes available!,60,Expense,INR,2015,January,TXN4
01-01-2015,Cash,Discretionary,No notes available!,40,Expense,INR,2015,January,TXN5
01-01-2015,Cash,Groceries,No notes available!,10,Expense,INR,2015,January,TXN6
01-01-2015,Cash,Transportation,No notes available!,142,Expense,INR,2015,January,TXN7
01-01-2015,Cash,Transportation,No notes available!,30,Expense,INR,2015,January,TXN8
01-01-2015,Cash,Groceries,No notes available!,200,Expense,INR,2015,January,TXN9
01-01-2015,Cash,Transportation,No notes available!,20,Expense,INR,2015,January,TXN10
01-01-2015,Cash,Transportation,No notes available!,20,Expense,INR,2015,January,TXN11
02-01-2015,Cash,Groceries,No notes available!,28,Expense,INR,2015,January,TXN12
02-01-2015,Cash,Groceries,No notes available!,66,Expense,INR,2015,January,TXN13
02-01-2015,Cash,Groceries,No notes available!,10,Expense,INR,2015,January,TXN14
02-01-2015,Saving Bank account 1,Miscellaneous,No notes available!,10000,Expense,INR,2015,January,TXN15
03-01-2015,Saving Bank account 1,Miscellaneous,No notes available!,223,Expense,INR,2015,January,TXN16
03-01-2015,Cash,Groceries,No notes available!,49,Expense,INR,2015,January,TXN17
03-01-2015,Cash,Groceries,No notes available!,350,Expense,INR,2015,January,TXN18
04-01-2015,Saving Bank account 1,Miscellaneous,No notes available!,10000,Expense,INR,2015,January,TXN19
04-01-2015,Cash,Groceries,No notes available!,175,Expense,INR,2015,January,TXN20
04-01-2015,Cash,Groceries,No notes available!,20,Expense,INR,2015,January,TXN21
04-01-2015,Cash,Groceries,No notes available!,35,Expense,INR,2015,January,TXN22
05-01-2015,Cash,Miscellaneous,No notes available!,2250,Expense,INR,2015,January,TXN23
05-01-2015,Saving Bank account 1,Groceries,No notes available!,135,Expense,INR,2015,January,TXN24
05-01-2015,Cash,Miscellaneous,No notes available!,333,Expense,INR,2015,January,TXN25
05-01-2015,Cash,Miscellaneous,No notes available!,2833,Expense,INR,2015,January,TXN26
06-01-2015,Cash,Groceries,No notes available!,15,Expense,INR,2015,January,TXN27
06-01-2015,Cash,Groceries,No notes available!,15,Expense,INR,2015,January,TXN28
07-01-2015,Cash,Groceries,No notes available!,31,Expense,INR,2015,January,TXN29
08-01-2015,Cash,Groceries,No notes available!,20,Expense,INR,2015,January,TXN30
09-01-2015,Cash,Groceries,No notes available!,20,Expense,INR,2015,January,TXN31
09-01-2015,Cash,Miscellaneous,No notes available!,650,Expense,INR,2015,January,TXN32
10-01-2015,Cash,Groceries,No notes available!,20,Expense,INR,2015,January,TXN33
10-01-2015,Cash,Miscellaneous,No notes available!,50,Expense,INR,2015,January,TXN34
10-01-2015,Saving Bank account 1,Transportation,No notes available!,650,Expense,INR,2015,January,TXN35
10-01-2015,Cash,Transportation,No notes available!,50,Expense,INR,2015,January,TXN36
11-01-2015,Cash,Transportation,No notes available!,170,Expense,INR,2015,January,TXN37
11-01-2015,Cash,Discretionary,No notes available!,50,Expense,INR,2015,January,TXN38
12-01-2015,Cash,Transportation,No notes available!,61,Expense,INR,2015,January,TXN39
12-01-2015,Cash,Transportation,No notes available!,175,Expense,INR,2015,January,TXN40
13-01-2015,Cash,Groceries,No notes available!,10,Expense,INR,2015,January,TXN41
13-01-2015,Cash,Miscellaneous,No notes available!,500,Expense,INR,2015,January,TXN42
14-01-2015,Saving Bank account 1,Transportation,No notes available!,760,Expense,INR,2015,January,TXN43
14-01-2015,Cash,Groceries,No notes available!,120,Expense,INR,2015,January,TXN44
14-01-2015,Cash,Groceries,No notes available!,13,Expense,INR,2015,January,TXN45
15-01-2015,Cash,Groceries,No notes available!,155,Expense,INR,2015,January,TXN46
15-01-2015,Cash,Transportation,No notes available!,100,Expense,INR,2015,January,TXN47
15-01-2015,Cash,Groceries,No notes available!,10,Expense,INR,2015,January,TXN48
16-01-2015,Cash,Transportation,No notes available!,30,Expense,INR,2015,January,TXN49
16-01-2015,Cash,Transportation,No notes available!,10,Expense,INR,2015,January,TXN50
16-01-2015,Cash,Transportation,No notes available!,50,Expense,INR,2015,January,TXN51
18-01-2015,Cash,Groceries,No notes available!,29,Expense,INR,2015,January,TXN52
18-01-2015,Cash,Groceries,No notes available!,8,Expense,INR,2015,January,TXN53
18-01-2015,Cash,Groceries,No notes available!,60,Expense,INR,2015,January,TXN54
19-01-2015,Cash,Groceries,No notes available!,29,Expense,INR,2015,January,TXN55
20-01-2015,Cash,Groceries,No notes available!,65,Expense,INR,2015,January,TXN56
21-01-2015,Cash,Groceries,No notes available!,120,Expense,INR,2015,January,TXN57
21-01-2015,Cash,Groceries,No notes available!,50,Expense,INR,2015,January,TXN58
21-01-2015,Cash,Groceries,No notes available!,28,Expense,INR,2015,January,TXN59
21-01-2015,Credit Card,Transportation,No notes available!,138,Expense,INR,2015,January,TXN60
21-01-2015,Cash,Transportation,No notes available!,264,Expense,INR,2015,January,TXN61
21-01-2015,Cash,Groceries,No notes available!,27,Expense,INR,2015,January,TXN62
21-01-2015,Cash,Utilities,No notes available!,60,Expense,INR,2015,January,TXN63
22-01-2015,Cash,Groceries,No notes available!,20,Expense,INR,2015,January,TXN64
22-01-2015,Cash,Groceries,No notes available!,33,Expense,INR,2015,January,TXN65
24-01-2015,Cash,Groceries,No notes available!,30,Expense,INR,2015,January,TXN66
25-01-2015,Cash,Discretionary,No notes available!,60,Expense,INR,2015,January,TXN67
26-01-2015,Credit Card,Groceries,No notes available!,311,Expense,INR,2015,January,TXN68
26-01-2015,Cash,Groceries,No notes available!,30,Expense,INR,2015,January,TXN69
26-01-2015,Cash,Groceries,No notes available!,26,Expense,INR,2015,January,TXN70
27-01-2015,Cash,Groceries,No notes available!,30,Expense,INR,2015,January,TXN71
27-01-2015,Cash,Groceries,No notes available!,15,Expense,INR,2015,January,TXN72
29-01-2015,Cash,Groceries,No notes available!,26,Expense,INR,2015,January,TXN73
29-01-2015,Cash,Groceries,No notes available!,38,Expense,INR,2015,January,TXN74
29-01-2015,Cash,Groceries,No notes available!,15,Expense,INR,2015,January,TXN75
30-01-2015,Cash,Groceries,No notes available!,1004,Expense,INR,2015,January,TXN76
30-01-2015,Cash,Transportation,No notes available!,100,Expense,INR,2015,January,TXN77
31-01-2015,Cash,Groceries,No notes available!,40,Expense,INR,2015,January,TXN78
31-01-2015,Cash,Groceries,No notes available!,20,Expense,INR,2015,January,TXN79
01-02-2015,Cash,Discretionary,No notes available!,248,Expense,INR,2015,February,TXN80
01-02-2015,Cash,Utilities,No notes available!,784,Expense,INR,2015,February,TXN81
01-02-2015,Cash,Groceries,No notes available!,26,Expense,INR,2015,February,TXN82
02-02-2015,Saving Bank account 1,Miscellaneous,No notes available!,10000,Expense,INR,2015,February,TXN83
02-02-2015,Cash,Groceries,No notes available!,30,Expense,INR,2015,February,TXN84
02-02-2015,Cash,Groceries,No notes available!,26,Expense,INR,2015,February,TXN85
03-02-2015,Cash,Miscellaneous,No notes available!,50,Expense,INR,2015,February,TXN86
03-02-2015,Cash,Groceries,No notes available!,27,Expense,INR,2015,February,TXN87
03-02-2015,Cash,Miscellaneous,No notes available!,100,Expense,INR,2015,February,TXN88
03-02-2015,Cash,Groceries,No notes available!,107,Expense,INR,2015,February,TXN89
03-02-2015,Cash,Groceries,No notes available!,10,Expense,INR,2015,February,TXN90
03-02-2015,Cash,Groceries,No notes available!,70,Expense,INR,2015,February,TXN91
04-02-2015,Cash,Groceries,No notes available!,26,Expense,INR,2015,February,TXN92
04-02-2015,Cash,Groceries,No notes available!,30,Expense,INR,2015,February,TXN93
04-02-2015,Credit Card,Groceries,No notes available!,1178,Expense,INR,2015,February,TXN94
05-02-2015,Cash,Groceries,No notes available!,21,Expense,INR,2015,February,TXN95
05-02-2015,Cash,Groceries,No notes available!,40,Expense,INR,2015,February,TXN96
05-02-2015,Cash,Groceries,No notes available!,375,Expense,INR,2015,February,TXN97
07-02-2015,Cash,Groceries,No notes available!,6,Expense,INR,2015,February,TXN98
08-02-2015,Saving Bank account 1,Groceries,No notes available!,86,Expense,INR,2015,February,TXN99
08-02-2015,Saving Bank account 1,Miscellaneous,No notes available!,371,Expense,INR,2015,February,TXN100
08-02-2015,Cash,Groceries,No notes available!,30,Expense,INR,2015,February,TXN101
08-02-2015,Saving Bank account 1,Miscellaneous,No notes available!,3400,Expense,INR,2015,February,TXN102
09-02-2015,Saving Bank account 1,Transportation,No notes available!,176,Expense,INR,2015,February,TXN103
09-02-2015,Cash,Groceries,No notes available!,150,Expense,INR,2015,February,TXN104
09-02-2015,Cash,Groceries,No notes available!,35,Expense,INR,2015,February,TXN105
10-02-2015,Cash,Groceries,No notes available!,6,Expense,INR,2015,February,TXN106
10-02-2015,Saving Bank account 1,Groceries,No notes available!,18,Expense,INR,2015,February,TXN107
10-02-2015,Cash,Groceries,No notes available!,60,Expense,INR,2015,February,TXN108
